pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,score_comp3_coke_040
-0.938,-0.7995,-0.823529412,-1,0.75,0.733333333,0.179522372
-0.862,-0.65,-0.588235294,-1,0.75,0.733333333,0.174332975
-0.952,-0.8,-0.352941176,-1,0.75,0.733333333,0.105601994
-0.772,-0.5505,-0.352941176,-1,0.75,0.733333333,0.15630614
-0.936,-0.749,-0.823529412,-1,0.75,0.733333333,0.202830315
-0.9,-0.6505,-0.705882353,-1,0.75,0.733333333,0.14754494
-0.86,-0.5995,-0.588235294,-1,0.75,0.733333333,0.179607069
-0.952,-0.7505,-0.352941176,-1,0.75,0.733333333,0.173030594
-0.768,-0.5,-0.352941176,-1,0.75,0.733333333,0.195403516
-0.936,-0.6995,-0.823529412,-1,0.75,0.733333333,0.214083566
-0.266,0.35,0.823529412,-0.636363636,-0.75,-0.493333333,0.250551489
-0.9,-0.601,-0.705882353,-1,0.75,0.733333333,0.174449964
-0.86,-0.549,-0.588235294,-1,0.75,0.733333333,0.182524251
-0.266,0.375,0.823529412,-0.636363636,-0.75,-0.493333333,0.250695347
-0.952,-0.701,-0.352941176,-1,0.75,0.733333333,0.143099653
-0.934,-0.649,-0.823529412,-1,0.75,0.733333333,0.190881749
-0.9,-0.5505,-0.705882353,-1,0.75,0.733333333,0.155529603
-0.264,0.425,0.823529412,-0.636363636,-0.75,-0.493333333,0.300449705
-0.95,-0.6505,-0.352941176,-1,0.75,0.733333333,0
0.662,0.375,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.732,0.35,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.59,0.4,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.51,0.425,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.77,0.325,-0.588235294,-0.636363636,-0.75,0.733333333,0
-0.934,-0.5995,-0.823529412,-1,0.75,0.733333333,0.089519215
0.416,0.45,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.328,0.475,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.746,0.3,-0.588235294,-0.636363636,-0.75,0.733333333,0
-0.95,-0.6005,-0.352941176,-1,0.75,0.733333333,0
-0.982,0.5,-0.588235294,-0.636363636,-0.75,0.733333333,0
-0.95,-0.5505,-0.352941176,-1,0.75,0.733333333,0
-0.948,-0.5005,-0.352941176,-1,0.75,0.733333333,0
-0.946,-0.5,-0.352941176,-1,0.75,0.733333333,0
-0.99,0.525,-0.588235294,-0.636363636,-0.75,0.733333333,0
-0.896,-0.501,-0.705882353,-1,0.75,0.733333333,0
-0.932,-0.5495,-0.823529412,-1,0.75,0.733333333,0
-0.778,0.275,-0.588235294,-0.272727273,0.75,-0.866666667,0.273769469
-0.066,0.325,-0.117647059,-0.636363636,-0.75,-0.493333333,0.333762391
-0.76,0.4245,-0.588235294,-0.636363636,-0.75,-0.866666667,0.349702623
-0.762,0.2755,-0.588235294,-0.636363636,-0.75,-0.493333333,0.360645822
-0.614,0.6,0.352941176,0.818181818,-0.75,0.733333333,0.357034701
-0.26,0.5,0.823529412,-0.636363636,-0.75,-0.493333333,0.333938178
-0.428,0.4755,-0.117647059,0.090909091,-0.75,-0.493333333,0.305490432
-0.778,0.3,-0.588235294,-0.272727273,0.75,-0.866666667,0.299988326
0.12,0.125,0.352941176,-0.636363636,-0.75,0.733333333,0.364755168
-0.064,0.35,-0.117647059,-0.636363636,-0.75,-0.493333333,0.349333605
-0.454,0.24,0.352941176,-0.818181818,-0.75,0.733333333,0.361686816
-0.684,0.375,-0.588235294,0.090909091,-0.75,-0.493333333,0.337392341
-0.266,0.525,0.823529412,-0.636363636,-0.75,-0.493333333,0.343351302
-0.762,0.45,-0.588235294,-0.636363636,-0.75,-0.866666667,0.365799224
-0.428,0.5005,-0.117647059,0.090909091,-0.75,-0.493333333,0.341972423
-0.76,0.3245,-0.588235294,-0.636363636,0,-0.866666667,0.365948212
-0.488,0.45,-0.352941176,-0.272727273,-0.75,-0.493333333,0.365137225
-0.778,0.325,-0.588235294,-0.272727273,0.75,-0.866666667,0.329545931
-0.624,0.25,0.352941176,0.090909091,-0.75,0.733333333,0.380344341
-0.856,0.075,-0.588235294,-0.636363636,-0.75,0.733333333,0.339385226
-0.452,0.265,0.352941176,-0.818181818,-0.75,0.733333333,0.381536829
-0.614,0.625,0.352941176,0.818181818,-0.75,0.733333333,0.387370318
-0.686,0.4,-0.588235294,0.090909091,-0.75,-0.493333333,0.378575665
-0.428,0.525,-0.117647059,0.090909091,-0.75,-0.493333333,0.35375761
0.736,0.15,0.352941176,-0.636363636,-0.75,0.733333333,0.368243435
