pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,score_comp3_coke_060
-0.938,-0.7995,-0.823529412,-1,0.75,0.733333333,0.18845094
-0.862,-0.65,-0.588235294,-1,0.75,0.733333333,0.18646365
-0.952,-0.8,-0.352941176,-1,0.75,0.733333333,0.158833855
-0.772,-0.5505,-0.352941176,-1,0.75,0.733333333,0.18504646
-0.936,-0.749,-0.823529412,-1,0.75,0.733333333,0.216330882
-0.9,-0.6505,-0.705882353,-1,0.75,0.733333333,0.190638399
-0.86,-0.5995,-0.588235294,-1,0.75,0.733333333,0.208540662
-0.952,-0.7505,-0.352941176,-1,0.75,0.733333333,0.209641379
-0.768,-0.5,-0.352941176,-1,0.75,0.733333333,0.227469476
-0.936,-0.6995,-0.823529412,-1,0.75,0.733333333,0.23891189
-0.266,0.35,0.823529412,-0.636363636,-0.75,-0.493333333,0.260121222
-0.9,-0.601,-0.705882353,-1,0.75,0.733333333,0.22391917
-0.86,-0.549,-0.588235294,-1,0.75,0.733333333,0.230504425
-0.266,0.375,0.823529412,-0.636363636,-0.75,-0.493333333,0.265656349
-0.952,-0.701,-0.352941176,-1,0.75,0.733333333,0.219390742
-0.934,-0.649,-0.823529412,-1,0.75,0.733333333,0.242504849
-0.9,-0.5505,-0.705882353,-1,0.75,0.733333333,0.236171504
-0.264,0.425,0.823529412,-0.636363636,-0.75,-0.493333333,0.306986026
-0.95,-0.6505,-0.352941176,-1,0.75,0.733333333,0.207097772
0.662,0.375,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.732,0.35,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.59,0.4,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.51,0.425,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.77,0.325,-0.588235294,-0.636363636,-0.75,0.733333333,0
-0.934,-0.5995,-0.823529412,-1,0.75,0.733333333,0.230493818
0.416,0.45,-0.588235294,-0.636363636,-0.75,0.733333333,0
0.328,0.475,-0.588235294,-0.636363636,-0.75,0.733333333,0
