pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,score_comp3_coke_080
0.096,0.675,0.352941176,0.090909091,-0.75,0.733333333,0.249932883
0.776,0.325,0.352941176,-0.636363636,-0.75,0.733333333,0.330940882
-0.582,0.25,-0.588235294,-0.636363636,-0.75,0.733333333,0.299334778
-0.76,0.3745,-0.588235294,-0.636363636,0,-0.866666667,0.40156425
-0.456,0.315,0.352941176,-0.818181818,-0.75,0.733333333,0.405667306
-0.686,0.45,-0.588235294,0.090909091,-0.75,-0.493333333,0.41344623
0.062,0.7,0.352941176,0.090909091,-0.75,0.733333333,0.236948243
0.044,0.725,0.352941176,0.090909091,-0.75,0.733333333,0.225934049
-0.78,0.375,-0.588235294,-0.272727273,0.75,-0.866666667,0.391985968
-0.06,0.425,-0.117647059,-0.636363636,-0.75,-0.493333333,0.411937274
-0.76,0.35,-0.588235294,-0.636363636,-0.75,-0.493333333,0.409573937
-0.624,0.325,0.352941176,0.090909091,-0.75,0.733333333,0.415177469
-0.85,0.125,-0.588235294,-0.636363636,-0.75,0.733333333,0.386416936
-0.428,0.5755,-0.117647059,0.090909091,-0.75,-0.493333333,0.406866965
-0.044,0.225,0.352941176,-0.636363636,-0.75,0.733333333,0.402990157
-0.614,0.6625,0.352941176,0.818181818,-0.75,0.733333333,0.418290579
-0.844,0.15,-0.588235294,-0.636363636,-0.75,0.733333333,0.374990919
-0.622,0.35,0.352941176,0.090909091,-0.75,0.733333333,0.420294732
-0.742,0.225,-0.588235294,-0.636363636,-0.75,0.733333333,0.337643788
-0.688,0.475,-0.588235294,0.090909091,-0.75,-0.493333333,0.411580357
-0.254,0.6,0.823529412,-0.636363636,-0.75,-0.493333333,0.416960756
-0.456,0.345,0.352941176,-0.818181818,-0.75,0.733333333,0.425790444
-0.824,0.175,-0.588235294,-0.636363636,-0.75,0.733333333,0.371716969
-0.79,0.2,-0.588235294,-0.636363636,-0.75,0.733333333,0.358709603
-0.756,0.5245,-0.588235294,-0.636363636,-0.75,-0.866666667,0.418741173
-0.118,0.25,0.352941176,-0.636363636,-0.75,0.733333333,0.413496244
-0.762,0.4,-0.588235294,-0.636363636,0,-0.866666667,0.419152866
-0.614,0.675,0.352941176,0.818181818,-0.75,0.733333333,0.425202605
-0.06,0.45,-0.117647059,-0.636363636,-0.75,-0.493333333,0.429450434
-0.778,0.3995,-0.588235294,-0.272727273,0.75,-0.866666667,0.413123148
-0.426,0.6005,-0.117647059,0.090909091,-0.75,-0.493333333,0.426601648
-0.62,0.375,0.352941176,0.090909091,-0.75,0.733333333,0.4299188
-0.762,0.3745,-0.588235294,-0.636363636,-0.75,-0.493333333,0.433778755
-0.486,0.55,-0.352941176,-0.272727273,-0.75,-0.493333333,0.423708959
-0.226,0.275,0.352941176,-0.636363636,-0.75,0.733333333,0.419858345
-0.23,0.55,0.352941176,-0.636363636,-0.75,-0.493333333,0.429751644
-0.456,0.365,0.352941176,-0.818181818,-0.75,0.733333333,0.433883286
-0.686,0.5,-0.588235294,0.090909091,-0.75,-0.493333333,0.441133291
-0.614,0.6875,0.352941176,0.818181818,-0.75,0.733333333,0.440373473
0.1,0.3,0.352941176,-0.636363636,-0.75,0.733333333,0.403142267
-0.622,0.4,0.352941176,0.090909091,-0.75,0.733333333,0.429877771
-0.252,0.625,0.823529412,-0.636363636,-0.75,-0.493333333,0.431646773
-0.756,0.5495,-0.588235294,-0.636363636,-0.75,-0.866666667,0.437018277
-0.722,0.65,0,0.818181818,-0.75,0.733333333,0.435840451
-0.724,0.65,0,0.818181818,-0.75,0.733333333,0.430133167
-0.76,0.4245,-0.588235294,-0.636363636,0,-0.866666667,0.432373548
-0.428,0.6255,-0.117647059,0.090909091,-0.75,-0.493333333,0.448765128
-0.06,0.475,-0.117647059,-0.636363636,-0.75,-0.493333333,0.440913863
-0.722,0.65,0,0.818181818,-0.75,0.733333333,0.435376922
-0.722,0.65,0,0.818181818,-0.75,0.733333333,0.436477374
-0.614,0.7,0.352941176,0.818181818,-0.75,0.733333333,0.434303421
-0.778,0.425,-0.588235294,-0.272727273,0.75,-0.866666667,0.434144749
-0.486,0.575,-0.352941176,-0.272727273,-0.75,-0.493333333,0.440167842
-0.624,0.425,0.352941176,0.090909091,-0.75,0.733333333,0.436486185
-0.76,0.4,-0.588235294,-0.636363636,-0.75,-0.493333333,0.440163648
-0.454,0.39,0.352941176,-0.818181818,-0.75,0.733333333,0.446383603
-0.646,0.65,0.352941176,0.818181818,-0.75,0.733333333,0.442909047
-0.684,0.65,0.176470588,0.818181818,-0.75,0.733333333,0.445157354
-0.754,0.65,-0.176470588,0.818181818,-0.75,0.733333333,0.434451942
-0.684,0.65,0.176470588,0.818181818,-0.75,0.733333333,0.44488289
-0.678,0.65,0.176470588,0.818181818,-0.75,0.733333333,0.444958397
-0.644,0.65,0.352941176,0.818181818,-0.75,0.733333333,0.446181807
-0.646,0.65,0.352941176,0.818181818,-0.75,0.733333333,0.446815352
-0.646,0.65,0.352941176,0.818181818,-0.75,0.733333333,0.443591104
-0.688,0.525,-0.588235294,0.090909091,-0.75,-0.493333333,0.445633047
-0.228,0.575,0.352941176,-0.636363636,-0.75,-0.493333333,0.447645409
-0.624,0.45,0.352941176,0.090909091,-0.75,0.733333333,0.440549711
-0.754,0.65,-0.176470588,0.818181818,-0.75,0.733333333,0.443550143
-0.754,0.65,-0.176470588,0.818181818,-0.75,0.733333333,0.448158167
-0.614,0.7125,0.352941176,0.818181818,-0.75,0.733333333,0.45241886
-0.25,0.65,0.823529412,-0.636363636,-0.75,-0.493333333,0.454789887
-0.756,0.65,-0.176470588,0.818181818,-0.75,0.733333333,0.446535987
-0.426,0.6505,-0.117647059,0.090909091,-0.75,-0.493333333,0.447692668
-0.056,0.5,-0.117647059,-0.636363636,-0.75,-0.493333333,0.44534819
-0.454,0.415,0.352941176,-0.818181818,-0.75,0.733333333,0.456171317
-0.756,0.575,-0.588235294,-0.636363636,-0.75,-0.866666667,0.451075125
-0.838,0.65,-0.705882353,0.818181818,-0.75,0.733333333,0.420161671
-0.626,0.475,0.352941176,0.090909091,-0.75,0.733333333,0.44163265
-0.784,0.65,-0.352941176,0.818181818,-0.75,0.733333333,0.44365386
-0.486,0.6,-0.352941176,-0.272727273,-0.75,-0.493333333,0.452445868
