pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,score_comp3_coke_100
-0.938,-0.7995,-0.823529412,-1,0.75,0.733333333,0.195028472
-0.862,-0.65,-0.588235294,-1,0.75,0.733333333,0.195140508
-0.952,-0.8,-0.352941176,-1,0.75,0.733333333,0.18440416
-0.772,-0.5505,-0.352941176,-1,0.75,0.733333333,0.202878904
-0.936,-0.749,-0.823529412,-1,0.75,0.733333333,0.226029979
-0.9,-0.6505,-0.705882353,-1,0.75,0.733333333,0.214733641
-0.86,-0.5995,-0.588235294,-1,0.75,0.733333333,0.226951391
-0.952,-0.7505,-0.352941176,-1,0.75,0.733333333,0.231708589
-0.768,-0.5,-0.352941176,-1,0.75,0.733333333,0.247803984
-0.936,-0.6995,-0.823529412,-1,0.75,0.733333333,0.255590444
-0.266,0.35,0.823529412,-0.636363636,-0.75,-0.493333333,0.267298927
-0.9,-0.601,-0.705882353,-1,0.75,0.733333333,0.251783886
-0.86,-0.549,-0.588235294,-1,0.75,0.733333333,0.258034284
-0.266,0.375,0.823529412,-0.636363636,-0.75,-0.493333333,0.276513951
-0.952,-0.701,-0.352941176,-1,0.75,0.733333333,0.255419508
-0.934,-0.649,-0.823529412,-1,0.75,0.733333333,0.2719228
-0.9,-0.5505,-0.705882353,-1,0.75,0.733333333,0.274579139
-0.264,0.425,0.823529412,-0.636363636,-0.75,-0.493333333,0.312021489
-0.95,-0.6505,-0.352941176,-1,0.75,0.733333333,0.264177522
0.662,0.375,-0.588235294,-0.636363636,-0.75,0.733333333,0.198208739
0.732,0.35,-0.588235294,-0.636363636,-0.75,0.733333333,0.203268985
0.59,0.4,-0.588235294,-0.636363636,-0.75,0.733333333,0.196251864
0.51,0.425,-0.588235294,-0.636363636,-0.75,0.733333333,0.192353732
0.77,0.325,-0.588235294,-0.636363636,-0.75,0.733333333,0.209865716
-0.934,-0.5995,-0.823529412,-1,0.75,0.733333333,0.27792714
0.416,0.45,-0.588235294,-0.636363636,-0.75,0.733333333,0.19195382
0.328,0.475,-0.588235294,-0.636363636,-0.75,0.733333333,0.189945284
0.746,0.3,-0.588235294,-0.636363636,-0.75,0.733333333,0.216783809
-0.95,-0.6005,-0.352941176,-1,0.75,0.733333333,0.264452069
-0.982,0.5,-0.588235294,-0.636363636,-0.75,0.733333333,0.20102217
-0.95,-0.5505,-0.352941176,-1,0.75,0.733333333,0.257975228
-0.948,-0.5005,-0.352941176,-1,0.75,0.733333333,0.247650716
-0.946,-0.5,-0.352941176,-1,0.75,0.733333333,0.247453444
-0.99,0.525,-0.588235294,-0.636363636,-0.75,0.733333333,0.199708202
-0.896,-0.501,-0.705882353,-1,0.75,0.733333333,0.282280176
-0.932,-0.5495,-0.823529412,-1,0.75,0.733333333,0.271812642
-0.778,0.275,-0.588235294,-0.272727273,0.75,-0.866666667,0.323010309
-0.066,0.325,-0.117647059,-0.636363636,-0.75,-0.493333333,0.345359626
-0.76,0.4245,-0.588235294,-0.636363636,-0.75,-0.866666667,0.356912387
-0.762,0.2755,-0.588235294,-0.636363636,-0.75,-0.493333333,0.36213769
-0.614,0.6,0.352941176,0.818181818,-0.75,0.733333333,0.360936151
-0.26,0.5,0.823529412,-0.636363636,-0.75,-0.493333333,0.352643135
-0.428,0.4755,-0.117647059,0.090909091,-0.75,-0.493333333,0.344100372
-0.778,0.3,-0.588235294,-0.272727273,0.75,-0.866666667,0.343097679
0.12,0.125,0.352941176,-0.636363636,-0.75,0.733333333,0.366396139
-0.064,0.35,-0.117647059,-0.636363636,-0.75,-0.493333333,0.361023928
-0.454,0.24,0.352941176,-0.818181818,-0.75,0.733333333,0.369114527
-0.684,0.375,-0.588235294,0.090909091,-0.75,-0.493333333,0.361262105
-0.266,0.525,0.823529412,-0.636363636,-0.75,-0.493333333,0.365187866
-0.762,0.45,-0.588235294,-0.636363636,-0.75,-0.866666667,0.373670389
-0.428,0.5005,-0.117647059,0.090909091,-0.75,-0.493333333,0.36550123
-0.76,0.3245,-0.588235294,-0.636363636,0,-0.866666667,0.375097377
-0.488,0.45,-0.352941176,-0.272727273,-0.75,-0.493333333,0.376027791
-0.778,0.325,-0.588235294,-0.272727273,0.75,-0.866666667,0.364535107
-0.624,0.25,0.352941176,0.090909091,-0.75,0.733333333,0.384348445
-0.856,0.075,-0.588235294,-0.636363636,-0.75,0.733333333,0.370232994
-0.452,0.265,0.352941176,-0.818181818,-0.75,0.733333333,0.385695694
-0.614,0.625,0.352941176,0.818181818,-0.75,0.733333333,0.388082466
-0.686,0.4,-0.588235294,0.090909091,-0.75,-0.493333333,0.384774567
-0.428,0.525,-0.117647059,0.090909091,-0.75,-0.493333333,0.377907301
