pressure,max_T,flow_rate,H2_per_CH4_n_Ar,reacter_len,reacter_dia,Conv,C2H4,C2,Coke,Y_C2,Y_C2H4
-0.614,0.6,0.352941176,0.818181818,-0.75,0.733333333,4.998048924,62.95706821,96.09048919,2.093789503,4.802649661,3.14662507
-0.26,0.5,0.823529412,-0.636363636,-0.75,-0.493333333,5.814590104,43.11047149,83.00412784,9.136909338,4.826349803,2.506697209
-0.428,0.4755,-0.117647059,0.090909091,-0.75,-0.493333333,5.868712311,50.60995371,83.32135099,16.67864901,4.889890383,2.970152584
-0.778,0.3,-0.588235294,-0.272727273,0.75,-0.866666667,6.219758421,42.74910048,79.2885916,18.1027875,4.931558853,2.658890777
0.12,0.125,0.352941176,-0.636363636,-0.75,0.733333333,5.437330017,64.75794865,91.26884174,0.883848254,4.962588128,3.52110338
-0.064,0.35,-0.117647059,-0.636363636,-0.75,-0.493333333,5.675211587,53.9111233,88.111282,5.898968923,5.000501686,3.059570316
-0.454,0.24,0.352941176,-0.818181818,-0.75,0.733333333,5.599683564,64.3605625,93.35123079,3.794504775,5.227373527,3.60398784
-0.684,0.375,-0.588235294,0.090909091,-0.75,-0.493333333,6.888387822,49.20662618,76.90671317,11.00094741,5.297632664,3.389543245
-0.266,0.525,0.823529412,-0.636363636,-0.75,-0.493333333,6.497047665,42.51544383,83.39982653,10.11901658,5.418526482,2.762248651
-0.762,0.45,-0.588235294,-0.636363636,-0.75,-0.866666667,5.993081227,44.20043289,90.6504486,3.961375346,5.432755017,2.648967846
-0.428,0.5005,-0.117647059,0.090909091,-0.75,-0.493333333,6.183436618,53.46288157,88.49157984,10.76511525,5.471820752,3.305843396
-0.76,0.3245,-0.588235294,-0.636363636,0,-0.866666667,6.131081234,45.86504501,90.17613344,4.543962434,5.528771995,2.812023168
-0.488,0.45,-0.352941176,-0.272727273,-0.75,-0.493333333,6.377267834,54.98546876,88.06375054,5.326595195,5.616061237,3.506570613
-0.778,0.325,-0.588235294,-0.272727273,0.75,-0.866666667,6.897276656,43.68099157,82.46252621,14.83055897,5.68766857,3.012798835
-0.624,0.25,0.352941176,0.090909091,-0.75,0.733333333,6.163642192,63.11946136,94.01601134,2.020291529,5.794810542,3.890457752
-0.856,0.075,-0.588235294,-0.636363636,-0.75,0.733333333,8.018146749,51.46003772,72.98502472,13.28033382,5.852046387,4.126141341
-0.452,0.265,0.352941176,-0.818181818,-0.75,0.733333333,6.220359328,64.80785066,94.20774616,2.088820004,5.860060326,4.031281184
-0.614,0.625,0.352941176,0.818181818,-0.75,0.733333333,5.951546039,64.24586406,98.56672714,0.36499874,5.866244145,3.823622178
-0.686,0.4,-0.588235294,0.090909091,-0.75,-0.493333333,6.977025615,53.54712072,84.23724345,3.073035558,5.877254053,3.735996329
-0.428,0.525,-0.117647059,0.090909091,-0.75,-0.493333333,6.838186403,53.14252692,88.3813922,10.69946211,6.043684344,3.63398505
0.736,0.15,0.352941176,-0.636363636,-0.75,0.733333333,7.8164088,54.48599663,77.76812435,7.140863815,6.078674515,4.258848235
-0.26,0.55,0.823529412,-0.636363636,-0.75,-0.493333333,7.239885366,43.01556517,85.25732416,8.718585725,6.172532535,3.114277608
-0.758,0.4745,-0.588235294,-0.636363636,-0.75,-0.866666667,6.785185858,43.67143605,91.06432009,1.129780797,6.178883368,2.963188103
-0.622,0.275,0.352941176,0.090909091,-0.75,0.733333333,6.787540032,61.55715735,92.00667072,3.195154943,6.244989607,4.178216698
-0.762,0.35,-0.588235294,-0.636363636,0,-0.866666667,7.362551114,42.56089695,84.8828463,8.813016293,6.249542946,3.133567793
-0.612,0.6375,0.352941176,0.818181818,-0.75,0.733333333,6.502509732,63.84272948,97.83862965,0.855707963,6.361966415,4.151379698
-0.388,0.275,-0.588235294,-0.636363636,-0.75,0.733333333,27.09621139,16.85869925,23.63748822,56.60256843,6.404863775,4.568068786
-0.688,0.425,-0.588235294,0.090909091,-0.75,-0.493333333,7.869102893,51.87858391,81.7289514,7.383514437,6.431335279,4.082379147
-0.78,0.35,-0.588235294,-0.272727273,0.75,-0.866666667,7.860992907,42.68366798,81.92475141,15.27283246,6.440098897,3.355360112
-0.456,0.295,0.352941176,-0.818181818,-0.75,0.733333333,7.247855096,61.19500903,89.13233172,6.310647427,6.460182247,4.43532558
-0.062,0.4,-0.117647059,-0.636363636,-0.75,-0.493333333,7.125717394,54.91869902,90.83693658,0.455968474,6.47278339,3.913351289
0.5,0.175,0.352941176,-0.636363636,-0.75,0.733333333,8.723986425,53.3663413,75.29751497,8.19666447,6.568944984,4.655672371
-0.428,0.5505,-0.117647059,0.090909091,-0.75,-0.493333333,7.229670931,55.59644723,92.7774972,6.027533932,6.707507746,4.019440184
-0.856,0.1,-0.588235294,-0.636363636,-0.75,0.733333333,10.19886959,46.20937177,65.96672645,16.29230789,6.727860403,4.712833565
0.23,0.65,0.352941176,0.090909091,-0.75,0.733333333,25.70851752,17.78585985,26.28956443,59.94497265,6.758657277,4.572480896
-0.622,0.3,0.352941176,0.090909091,-0.75,0.733333333,7.248784315,62.40690235,93.48697864,0.532566088,6.776669444,4.523741749
-0.614,0.65,0.352941176,0.818181818,-0.75,0.733333333,7.249951458,61.60411624,94.89784951,3.523968938,6.880048024,4.466268524
-0.486,0.5,-0.352941176,-0.272727273,-0.75,-0.493333333,7.891986111,54.88448204,88.19799682,5.799599426,6.960573659,4.3314757
-0.758,0.4995,-0.588235294,-0.636363636,-0.75,-0.866666667,8.016250559,41.38880897,87.49470156,5.862995377,7.013794503,3.31783063
0.132,0.2,0.352941176,-0.636363636,-0.75,0.733333333,9.045479943,55.14775168,77.5536616,5.68864069,7.015100905,4.988378817
-0.252,0.575,0.823529412,-0.636363636,-0.75,-0.493333333,7.926561169,44.29995908,88.53085801,3.487650482,7.017452614,3.511463354
0.096,0.675,0.352941176,0.090909091,-0.75,0.733333333,28.2183277,17.05323192,25.05204251,62.33206583,7.069267451,4.812136867
0.776,0.325,0.352941176,-0.636363636,-0.75,0.733333333,19.32126112,26.25251892,36.72363322,39.13418785,7.095469067,5.072317731
-0.582,0.25,-0.588235294,-0.636363636,-0.75,0.733333333,24.74068552,20.42680341,28.76418542,49.84927821,7.116456657,5.053731193
-0.76,0.3745,-0.588235294,-0.636363636,0,-0.866666667,8.424581599,41.835726,84.56540637,7.286670325,7.124281664,3.524484874
-0.456,0.315,0.352941176,-0.818181818,-0.75,0.733333333,8.048938731,60.82925317,88.88950047,5.353246829,7.154661431,4.896109318
-0.686,0.45,-0.588235294,0.090909091,-0.75,-0.493333333,7.798558562,58.12230804,91.77219212,1.00098951,7.156908146,4.53270223
0.062,0.7,0.352941176,0.090909091,-0.75,0.733333333,30.56752775,15.95638756,23.45986829,65.15895162,7.17110175,4.877473195
0.044,0.725,0.352941176,0.090909091,-0.75,0.733333333,32.36866395,15.16217883,22.36606006,67.25555927,7.23959482,4.907794713
-0.78,0.375,-0.588235294,-0.272727273,0.75,-0.866666667,8.698970893,43.15512825,83.4755967,13.64492566,7.26151786,3.754052045
-0.06,0.425,-0.117647059,-0.636363636,-0.75,-0.493333333,8.370516842,52.34194471,86.91608867,3.13461426,7.275325841,4.381291297
-0.76,0.35,-0.588235294,-0.636363636,-0.75,-0.493333333,8.698684129,47.3761038,83.91875599,4.703580219,7.299827509,4.121097622
-0.624,0.325,0.352941176,0.090909091,-0.75,0.733333333,8.000731369,60.59318598,91.25236933,1.581689753,7.300856938,4.847898038
-0.85,0.125,-0.588235294,-0.636363636,-0.75,0.733333333,11.77678848,43.57903369,62.08505876,16.86873788,7.311626048,5.132210619
-0.428,0.5755,-0.117647059,0.090909091,-0.75,-0.493333333,8.10073823,54.44343624,91.3678984,7.200392016,7.401474276,4.410320253
-0.044,0.225,0.352941176,-0.636363636,-0.75,0.733333333,10.15995661,51.75503603,73.31608952,9.711842629,7.448882883,5.258289204
-0.614,0.6625,0.352941176,0.818181818,-0.75,0.733333333,7.87675906,62.15221391,95.7663581,2.381775779,7.543285288,4.89558014
-0.844,0.15,-0.588235294,-0.636363636,-0.75,0.733333333,14.39606263,37.29276861,53.02347986,24.73625853,7.633293369,5.368690326
-0.622,0.35,0.352941176,0.090909091,-0.75,0.733333333,8.736743792,58.58544311,88.31330474,3.020321762,7.715707169,5.118460064
-0.742,0.225,-0.588235294,-0.636363636,-0.75,0.733333333,21.44001609,25.51029623,36.30253282,40.43563089,7.783268878,5.469411616
